iter	Passed	Remaining
733	1765	639
734	1767	637
735	1769	634
736	1771	632
737	1773	629
738	1776	627
739	1778	624
740	1780	622
741	1781	619
742	1783	616
743	1785	614
744	1786	611
745	1788	608
746	1791	606
747	1793	604
748	1795	601
749	1798	599
750	1800	596
751	1802	594
752	1805	592
753	1807	589
754	1810	587
755	1812	585
756	1815	582
757	1816	580
758	1818	577
759	1822	575
760	1823	572
761	1825	570
762	1827	567
763	1829	564
764	1830	562
765	1832	559
766	1834	557
767	1837	555
768	1840	552
769	1842	550
770	1844	547
771	1846	545
772	1847	542
773	1849	539
774	1852	537
775	1853	535
776	1855	532
777	1857	529
778	1858	527
779	1860	524
780	1861	522
781	1863	519
782	1865	517
783	1867	514
784	1868	511
785	1870	509
786	1871	506
787	1873	503
788	1874	501
789	1875	498
790	1877	496
791	1879	493
792	1882	491
793	1884	488
794	1885	486
795	1887	483
796	1888	481
797	1890	478
798	1891	475
799	1893	473
800	1895	470
801	1897	468
802	1899	465
803	1900	463
804	1902	460
805	1903	458
806	1904	455
807	1906	452
808	1907	450
809	1909	447
810	1912	445
811	1913	443
812	1915	440
813	1917	438
814	1918	435
815	1920	432
816	1921	430
817	1922	427
818	1924	425
819	1926	422
820	1928	420
821	1929	417
822	1931	415
823	1932	412
824	1934	410
825	1935	407
826	1936	405
827	1938	402
828	1941	400
829	1943	397
830	1944	395
831	1946	392
832	1947	390
833	1949	387
834	1950	385
835	1952	383
836	1954	380
837	1957	378
838	1958	375
839	1959	373
840	1961	370
841	1962	368
842	1963	365
843	1965	363
844	1966	360
845	1968	358
846	1971	356
847	1973	353
848	1974	351
849	1975	348
850	1977	346
851	1979	343
852	1980	341
853	1981	338
854	1983	336
855	1985	334
856	1987	331
857	1989	329
858	1990	326
859	1991	324
860	1993	321
861	1994	319
862	1996	316
863	1997	314
864	2000	312
865	2002	309
866	2003	307
867	2005	304
868	2006	302
869	2008	300
870	2009	297
871	2010	295
872	2012	292
873	2014	290
874	2016	288
875	2018	285
876	2020	283
877	2021	280
878	2023	278
879	2024	276
880	2025	273
881	2027	271
882	2029	268
883	2031	266
884	2032	264
885	2034	261
886	2035	259
887	2037	256
888	2038	254
889	2040	252
890	2041	249
891	2043	247
892	2046	245
893	2047	242
894	2048	240
895	2050	237
896	2051	235
897	2053	233
898	2054	230
899	2056	228
900	2057	226
901	2060	223
902	2062	221
903	2063	219
904	2065	216
905	2066	214
906	2068	212
907	2069	209
908	2071	207
909	2072	204
910	2075	202
911	2076	200
912	2078	198
913	2079	195
914	2081	193
915	2082	190
916	2084	188
917	2085	186
918	2087	183
919	2090	181
920	2091	179
921	2093	177
922	2094	174
923	2095	172
924	2097	170
925	2098	167
926	2100	165
927	2101	163
928	2103	160
929	2105	158
930	2107	156
931	2108	153
932	2109	151
933	2111	149
934	2112	146
935	2114	144
936	2115	142
937	2117	139
938	2119	137
939	2121	135
940	2122	133
941	2124	130
942	2125	128
943	2127	126
944	2128	123
945	2130	121
946	2131	119
947	2133	117
948	2135	114
949	2137	112
950	2138	110
951	2139	107
952	2141	105
953	2142	103
954	2144	101
955	2145	98
956	2147	96
957	2150	94
958	2151	92
959	2153	89
960	2155	87
961	2157	85
962	2159	82
963	2160	80
964	2162	78
965	2164	76
966	2165	73
967	2167	71
968	2169	69
969	2170	67
970	2172	64
971	2174	62
972	2175	60
973	2177	58
974	2179	55
975	2181	53
976	2182	51
977	2184	49
978	2185	46
979	2187	44
980	2188	42
981	2189	40
982	2191	37
983	2193	35
984	2195	33
985	2196	31
986	2198	28
987	2199	26
988	2201	24
989	2202	22
990	2203	20
991	2205	17
992	2206	15
993	2209	13
994	2210	11
995	2212	8
996	2213	6
997	2215	4
998	2216	2
999	2218	0
